タイトル,タイトルURL,価格8,概要,概要9,store_id,score
お風呂自慢の宿　翠明,https://www.jalan.net/yad334068/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=334068&callbackHistFlg=1,19000.0,4.2,6937.0,jalan.net/yad334068,37.14802907562472
星野リゾート　界 加賀,https://www.jalan.net/yad309552/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=309552&callbackHistFlg=1,119050.0,4.5,512.0,jalan.net/yad309552,28.081241303268463
山代温泉　ゆのくに天祥,https://www.jalan.net/yad332812/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=332812&callbackHistFlg=1,18250.0,4.6,4523.0,jalan.net/yad332812,38.718898451285646
加賀 山代温泉　みどりの宿 萬松閣,https://www.jalan.net/yad336421/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=336421&callbackHistFlg=1,112100.0,4.6,58.0,jalan.net/yad336421,18.75667224196631
山中温泉　白鷺湯たわらや,https://www.jalan.net/yad317168/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=317168&callbackHistFlg=1,19900.0,4.5,1112.0,jalan.net/yad317168,31.566664580739953
吉祥やまなか,https://www.jalan.net/yad322948/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=322948&callbackHistFlg=1,19000.0,4.5,2370.0,jalan.net/yad322948,34.969801887294324
かがり吉祥亭,https://www.jalan.net/yad325818/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=325818&callbackHistFlg=1,18000.0,4.6,1270.0,jalan.net/yad325818,32.878772647471486
天然温泉　スーパーホテル石川能美根上スマートインター,https://www.jalan.net/yad385427/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=385427&callbackHistFlg=1,13990.0,4.5,415.0,jalan.net/yad385427,27.138083671175686
片山津温泉　湖畔の宿　森本,https://www.jalan.net/yad347449/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=347449&callbackHistFlg=1,17100.0,4.6,772.0,jalan.net/yad347449,30.59128362350214
湯の宿　白山菖蒲亭,https://www.jalan.net/yad319732/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319732&callbackHistFlg=1,111220.0,4.5,530.0,jalan.net/yad319732,28.236429095588726
